First 2 of SOC,SOC,Occupation,Generation,2007 Jobs,2013 Jobs,Job Change,Job Change Rate,2007 Share of All Jobs,2013 Share of All Jobs
11,11-0000,Management,Baby Boomer,1465399,1506812,41413,3%,18%,19%
21,21-0000,Community and Social Service,Baby Boomer,419589,457468,37879,9%,19%,19%
25,25-0000,"Education, Training, and Library",Baby Boomer,1666597,1697604,31007,2%,19%,19%
17,17-0000,Architecture and Engineering,Baby Boomer,422861,462564,39703,9%,16%,18%
19,19-0000,"Life, Physical, and Social Science",Baby Boomer,189040,214879,25839,14%,16%,18%
23,23-0000,Legal,Baby Boomer,214033,222448,8415,4%,16%,18%
13,13-0000,Business and Financial Operations,Baby Boomer,1099023,1225149,126126,11%,15%,17%
29,29-0000,Healthcare Practitioners and Technical,Baby Boomer,1161066,1413668,252602,22%,15%,17%
33,33-0000,Protective Service,Baby Boomer,549128,564740,15612,3%,16%,17%
43,43-0000,Office and Administrative Support,Baby Boomer,3591385,3937939,346554,10%,15%,17%
49,49-0000,"Installation, Maintenance, and Repair",Baby Boomer,865447,946602,81155,9%,15%,17%
51,51-0000,Production,Baby Boomer,1461071,1531321,70250,5%,14%,17%
55,55-0000,Military,Baby Boomer,345089,349133,4044,1%,17%,17%
37,37-0000,Building and Grounds Cleaning and Maintenance,Baby Boomer,876401,966863,90462,10%,15%,16%
53,53-0000,Transportation and Material Moving,Baby Boomer,1374052,1505802,131750,10%,14%,16%
27,27-0000,"Arts, Design, Entertainment, Sports, and Media",Baby Boomer,355964,374103,18139,5%,13%,14%
31,31-0000,Healthcare Support,Baby Boomer,462450,584837,122387,26%,12%,14%
39,39-0000,Personal Care and Service,Baby Boomer,688295,808370,120075,17%,13%,14%
41,41-0000,Sales and Related,Baby Boomer,2093226,2275446,182220,9%,13%,14%
47,47-0000,Construction and Extraction,Baby Boomer,853148,827748,-25400,-3%,10%,12%
15,15-0000,Computer and Mathematical,Baby Boomer,372843,446730,73887,20%,10%,11%
45,45-0000,"Farming, Fishing, and Forestry",Baby Boomer,116155,124627,8472,7%,10%,11%
35,35-0000,Food Preparation and Serving Related,Baby Boomer,715561,858635,143074,20%,6%,7%
35,35-0000,Food Preparation and Serving Related,Millennial,3638345,4283180,644835,18%,32%,35%
31,31-0000,Healthcare Support,Millennial,1225658,1416322,190664,16%,32%,33%
15,15-0000,Computer and Mathematical,Millennial,1205652,1230220,24568,2%,33%,32%
27,27-0000,"Arts, Design, Entertainment, Sports, and Media",Millennial,814043,788864,-25179,-3%,30%,30%
45,45-0000,"Farming, Fishing, and Forestry",Millennial,322034,337045,15011,5%,29%,30%
39,39-0000,Personal Care and Service,Millennial,1451425,1654558,203133,14%,28%,29%
47,47-0000,Construction and Extraction,Millennial,2494960,2016673,-478287,-19%,31%,29%
41,41-0000,Sales and Related,Millennial,4431037,4504482,73445,2%,27%,28%
13,13-0000,Business and Financial Operations,Millennial,1992479,1981010,-11469,-1%,28%,27%
19,19-0000,"Life, Physical, and Social Science",Millennial,312140,328219,16079,5%,27%,27%
29,29-0000,Healthcare Practitioners and Technical,Millennial,1944312,2157397,213085,11%,26%,27%
43,43-0000,Office and Administrative Support,Millennial,6630203,6389681,-240522,-4%,28%,27%
55,55-0000,Military,Millennial,563376,572994,9618,2%,28%,27%
21,21-0000,Community and Social Service,Millennial,571034,615626,44592,8%,25%,26%
23,23-0000,Legal,Millennial,335642,320408,-15234,-5%,26%,26%
53,53-0000,Transportation and Material Moving,Millennial,2524305,2379228,-145077,-6%,25%,26%
25,25-0000,"Education, Training, and Library",Millennial,2051515,2114982,63467,3%,24%,25%
49,49-0000,"Installation, Maintenance, and Repair",Millennial,1453597,1378460,-75137,-5%,25%,24%
17,17-0000,Architecture and Engineering,Millennial,662470,593064,-69406,-10%,25%,24%
33,33-0000,Protective Service,Millennial,799790,828819,29029,4%,24%,24%
51,51-0000,Production,Millennial,2484504,2167981,-316523,-13%,25%,24%
37,37-0000,Building and Grounds Cleaning and Maintenance,Millennial,1333020,1386529,53509,4%,23%,23%
11,11-0000,Management,Millennial,1555952,1461670,-94282,-6%,19%,18%
